GENE       CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
148398       1     859993     879961     48      10  97173      -1.2057      0.88604
26155        1     879583     894679     37       4  97173     -0.16739      0.56647
339451       1     895967     901099     26       4  97173     0.098228      0.46088
84069        1     901872     910488     21       8  97173     -0.38991       0.6517
84808        1     910579     917473     21       5  97173     -0.76266      0.77717
57801        1     934342     936608     11       2  97173      0.72825      0.23323
9636         1     948847     949920      5       1  97173        1.315     0.094253
375790       1     955503     991499    109      11  97173      -0.2683      0.60577
401934       1    1007126    1009687      7       3  97173     0.056715      0.47739
54991        1    1017198    1051736    120      10  97173     -0.12501      0.54974
254173       1    1109286    1133315    141      15  97173       1.3797     0.083833
8784         1    1138888    1142163     10       2  97173       2.8014    0.0025439
7293         1    1146706    1149703     10       4  97173     -0.90753      0.81794
51150        1    1152288    1167447     94       4  97173      0.83983       0.2005
126792       1    1167629    1170421     11       4  97173       1.3894     0.082351
388581       1    1177826    1182102     11       2  97173      0.86225      0.19428
118424       1    1189292    1209234     50       7  97173       3.0167    0.0012776
6339         1    1215816    1227409     33      10  97173       2.4968    0.0062662
116983       1    1227764    1243304     42       6  97173       2.7193    0.0032712
126789       1    1243962    1247057      3       2  97173        1.844     0.032595
54973        1    1246965    1260067     17       4  97173       2.1012     0.017813
80772        1    1260136    1264276     10       2  97173        1.604     0.054357
83756        1    1266726    1269844      5       2  97173       2.1681     0.015077
1855         1    1270658    1284509     32       5  97173       2.0477     0.020296
54587        1    1288071    1297183     21       3  97173       1.2232      0.11063
54998        1    1309110    1310818      5       2  97173       2.5217    0.0058387
81669        1    1321091    1334718     16       4  97173       1.1669      0.12162
55052        1    1337276    1342693     11       4  97173       2.0693     0.019259
441869       1    1353800    1356824      7       2  97173       1.5709     0.058102
643965       1    1361508    1363167      5       2  97173       -1.162      0.87738
64856        1    1370903    1378262      9       2  97173      -0.7836      0.78336
219293       1    1378152    1405538      8       2  97173      0.34464      0.36518
83858        1    1407139    1444852     38       4  97173     -0.20979      0.58308
55210        1    1447523    1470067     84       8  97173     -0.48992      0.68791
339453       1    1470158    1475740      7       2  97173      -0.7186      0.76381
29101        1    1477053    1510262     73       5  97173     -0.81862       0.7935
643988       1    1533388    1535476      1       1  97173    -0.063963       0.5255
142678       1    1550795    1565990      1       1  97173      -0.7438       0.7715
728661       1    1591486    1624243     24       2  97173      0.53524      0.29624
728642       1    1633822    1655999      6       1  97173      0.69986      0.24201
9906         1    1656277    1677438     40       2  97173       1.3479     0.088846
65220        1    1682671    1711508     53       5  97173       3.2272    0.0006251
2782         1    1716725    1822552    117      10  97173       3.3035   0.00047737
163688       1    1846266    1848733     11       3  97173       3.0633    0.0010946
339456       1    1849029    1850740      5       2  97173       3.0752    0.0010517
85452        1    1853390    1935276    311      19  97173       1.5397     0.061812
2563         1    1950768    1962192     24       4  97173       0.2647      0.39562
5590         1    1981909    2116834    518      34  97173     -0.24433      0.59651
100506504    1    2113250    2115812      5       3  97173     -0.04258      0.51698
199990       1    2115899    2144159     63      14  97173      0.46972      0.31928
6497         1    2160134    2241652    311      56  97173       1.7546     0.039663
79906        1    2251719    2323190    384      45  97173     -0.21704      0.58591
11079        1    2323214    2336883     46      14  97173      -2.1117      0.98265
5192         1    2336241    2344010     30      11  97173      -2.1205      0.98302
9651         1    2407754    2436964    116      25  97173       1.5669     0.058574
55229        1    2439975    2458061     79      17  97173       1.8004     0.035902
388585       1    2460184    2461684      5       3  97173       3.2824   0.00051471
8764         1    2487291    2495268     23       6  97173       3.1186    0.0009086
127281       1    2517899    2522908     14       6  97173       6.5514   2.8501e-11
79258        1    2522078    2564499    186      13  97173       6.4358   6.1416e-11
100287898    1    2572807    2706230    437      29  97173       3.8811   5.1995e-05
140625       1    2938046    2939467      4       2  97173       1.6712     0.047344
63976        1    2985565    3355185   1964     201  97173     -0.62514      0.73406
27237        1    3371147    3397677    121      17  97173      -1.1161      0.86781
1953         1    3404506    3528059    624      86  97173       2.4838    0.0064991
127262       1    3541556    3546695     12       4  97173       1.8712     0.030657
49856        1    3547331    3566671     59      16  97173      0.88736      0.18744
7161         1    3569129    3652765    336      56  97173      0.73163       0.2322
148870       1    3668965    3688209     80      18  97173     -0.66331      0.74643
388588       1    3689352    3692546     13       5  97173       1.4818     0.069202
57470        1    3696784    3713068     89      17  97173      0.97925      0.16373
9731         1    3728645    3773797    337      20  97173        1.319     0.093578
1677         1    3773845    3801993    180      24  97173      0.96941      0.16617
339448       1    3805697    3816857     50       9  97173      0.35265      0.36218
