GENE       CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
148398       1     849993     889961    100      14  97173      -1.1529      0.87552
26155        1     869583     904679     88       9  97173     -0.15151      0.56021
339451       1     885967     911099     77      10  97173    -0.025141      0.51003
84069        1     891872     920488     95      17  97173     -0.45874      0.67679
84808        1     900579     927473     86      14  97173     0.059708      0.47619
57801        1     924342     946608     77       8  97173       1.0967      0.13639
9636         1     938847     959920     61       7  97173       1.0834      0.13932
375790       1     945503    1001499    166      17  97173      0.10501      0.45818
401934       1     997126    1019687     58       8  97173       0.2907      0.38564
54991        1    1007198    1061736    210      16  97173     -0.21721      0.58598
254173       1    1099286    1143315    193      21  97173       1.8498     0.032168
8784         1    1128888    1152163     93      13  97173       2.5422    0.0055083
7293         1    1136706    1159703     98      10  97173       2.0231     0.021533
51150        1    1142288    1177447    171      10  97173       1.3405     0.090048
126792       1    1157629    1180421    123       7  97173      0.79095      0.21449
388581       1    1167826    1192102     93      10  97173       1.2395      0.10758
118424       1    1179292    1219234    143      16  97173       2.8422      0.00224
6339         1    1205816    1237409     98      13  97173       2.9436    0.0016219
116983       1    1217764    1253304     76      11  97173       2.6741    0.0037465
126789       1    1233962    1257057     39       6  97173       2.4818    0.0065361
54973        1    1236965    1270067     65       8  97173       2.1616     0.015325
80772        1    1250136    1274276     48       5  97173       1.9039     0.028464
83756        1    1256726    1279844     55       6  97173       1.9701     0.024415
1855         1    1260658    1294509     79       6  97173       1.8803     0.030034
54587        1    1278071    1307183    120      10  97173      0.71166      0.23834
54998        1    1299110    1320818    116       9  97173      0.44037      0.32983
81669        1    1311091    1344718     79       8  97173       1.5077     0.065815
55052        1    1327276    1352693     56       5  97173        1.964     0.024766
441869       1    1343800    1366824     71       5  97173       1.3199     0.093426
643965       1    1351508    1373167     56       6  97173      0.63474       0.2628
64856        1    1360903    1388262     39       5  97173     -0.72527      0.76586
219293       1    1368152    1415538     20       4  97173     0.033058      0.48681
83858        1    1397139    1454852     65       6  97173     -0.38249      0.64895
55210        1    1437523    1480067    125      11  97173     -0.68585       0.7536
339453       1    1460158    1485740     77      10  97173     -0.74106      0.77067
29101        1    1467053    1520262    134       9  97173     -0.36464      0.64231
643988       1    1523388    1545476     12       2  97173     -0.89349       0.8142
142678       1    1540795    1575990      3       1  97173     -0.81106      0.79133
8510         1    1557060    1580030      1       1  97173      -0.7438       0.7715
984          1    1561100    1600473      1       1  97173      -0.7438       0.7715
728661       1    1581486    1634243     30       2  97173      0.58005      0.28094
728642       1    1623822    1665999     21       2  97173       1.0329      0.15082
9906         1    1646277    1687438     61       3  97173       1.8955     0.029012
65220        1    1672671    1721508     77       6  97173       2.9911    0.0013897
2782         1    1706725    1832552    140      12  97173       3.2762    0.0005261
163688       1    1836266    1858733     68       7  97173       2.9048    0.0018372
339456       1    1839029    1860740     69       7  97173       2.8772    0.0020064
85452        1    1843390    1945276    372      23  97173       1.8011     0.035847
2563         1    1940768    1972192     74       9  97173     -0.25669      0.60129
5590         1    1971909    2126834    542      37  97173     -0.16877      0.56701
100506504    1    2103250    2125812     52      15  97173      0.92852      0.17657
199990       1    2105899    2154159    122      27  97173      0.76345       0.2226
6497         1    2150134    2251652    374      61  97173       2.9448     0.001616
79906        1    2241719    2333190    455      53  97173       1.3266     0.092322
11079        1    2313214    2346883    126      33  97173      -1.7438       0.9594
5192         1    2326241    2354010    121      33  97173      -1.8533      0.96808
9651         1    2397754    2446964    211      42  97173       1.4669     0.071195
55229        1    2429975    2468061    158      26  97173       2.0441      0.02047
388585       1    2450184    2471684     88      23  97173       1.7717     0.038224
8764         1    2477291    2505268    100      14  97173       3.1318   0.00086867
127281       1    2507899    2532908    111      12  97173       6.3456   1.1076e-10
79258        1    2512078    2574499    249      18  97173       6.3403   1.1469e-10
100287898    1    2562807    2716230    504      28  97173       4.0433   2.6355e-05
140625       1    2928046    2949467     93      16  97173      0.49552      0.31012
63976        1    2975565    3365185   2044     212  97173     -0.69721      0.75716
27237        1    3361147    3407677    201      23  97173      -1.0196      0.84605
1953         1    3394506    3538059    718     102  97173       2.4676    0.0068018
127262       1    3531556    3556695     95      15  97173       1.4001     0.080748
49856        1    3537331    3576671    128      24  97173       1.1098      0.13354
7161         1    3559129    3662765    399      65  97173      0.74648      0.22769
148870       1    3658965    3698209    182      32  97173     0.018641      0.49256
388588       1    3679352    3702546    140      19  97173      0.50852      0.30555
57470        1    3686784    3723068    219      26  97173       1.2186       0.1115
9731         1    3718645    3783797    463      24  97173       1.3833     0.083282
1677         1    3763845    3811993    325      33  97173        1.528     0.063257
339448       1    3795697    3826857    147      19  97173     0.017663      0.49295
55966        1    4705105    4853851    913     108  97173     0.058096      0.47684
261734       1    5912870    6062618    614      29  97173      0.31375      0.37685
8514         1    6042358    6171253    496      78  97173      0.49176      0.31144
26038        1    6151847    6250194    414      46  97173     0.037468      0.48506
6146         1    6235080    6269679     95      17  97173     -0.58739      0.72153
388591       1    6256189    6291359    106      17  97173     -0.26609      0.60491
23463        1    6271253    6306044    102      16  97173     -0.21193      0.58392
390992       1    6294252    6315638     54      10  97173    -0.058487      0.52332
387509       1    6297406    6331035    105      13  97173     -0.22334      0.58836
11332        1    6314332    6463826    633      33  97173      0.79772      0.21252
54626        1    6465292    6494724    117      13  97173        0.396      0.34605
83715        1    6474836    6531004    184      20  97173     -0.17509      0.56949
8718         1    6510787    6537432     68      14  97173      -1.0893        0.862
57449        1    6516152    6590121    259      35  97173       -1.275      0.89885
79707        1    6571407    6624658    244      13  97173     -0.21051      0.58336
80835        1    6604987    6649817    150      17  97173    -0.003623      0.50145
3104         1    6630051    6659340     80      27  97173       1.1304      0.12915
9903         1    6640784    6672958     80      23  97173       1.4079     0.079575
148479       1    6663756    6694093     80      18  97173       1.2091      0.11332
90326        1    6674925    6705646     99      21  97173       1.4829      0.06905
55735        1    6684228    6771966    250      30  97173       1.3743     0.084669
23261        1    6835384    7839766   3882     262  97173      0.96015      0.16849
9341         1    7821329    7851492    105      23  97173       2.2418     0.012487
8863         1    7834413    7915241    360      34  97173       2.1027     0.017748
10911        1    7897672    7923551    133      29  97173       1.6882     0.045682
3604         1    7965931    8013225    142      23  97173       1.1583      0.12338
11315        1    8011714    8055342    140      24  97173       1.5592     0.059475
54206        1    8061779    8096393     90      17  97173       1.9223     0.027283
50651        1    8368171    8414227    154      23  97173       1.6423     0.050265
473          1    8402464    8887699   1063      39  97173       3.2259    0.0006279
2023         1    8911059    8949151     98      17  97173        1.676     0.046865
765          1    8995893    9045151    246      58  97173       1.5405     0.061714
155184       1    9053359    9096404    194      41  97173      -1.8465      0.96759
6518         1    9087005    9141763    266      27  97173     -0.17628      0.56996
80045        1    9153472    9199229    194      34  97173     -0.43821      0.66938
9563         1    9284822    9341396    258      32  97173       1.1878      0.11746
80176        1    9325202    9439591    651      92  97173      0.41059      0.34069
84275        1    9589528    9652831    161      22  97173      0.22495      0.41101
199953       1    9638932    9684935    103      17  97173      0.22162       0.4123
5293         1    9701789    9799172    309      48  97173       1.9363     0.026415
22883        1    9779079    9894550    356      28  97173       1.0846      0.13904
56998        1    9898334    9980316    165      29  97173     0.059502      0.47628
84328        1    9972168   10013460    108      18  97173     -0.31628       0.6241
64802        1    9993486   10055556    151      23  97173      -1.1223      0.86912
116362       1   10047255   10086078     96      13  97173      -1.9316      0.97329
10277        1   10083041   10251297    511      33  97173      -1.8419      0.96726
23095        1   10260606   10451664    668      20  97173     -0.38604      0.65026
5226         1   10448884   10490565    139      19  97173      0.22207      0.41213
378708       1   10479944   10520239    142      17  97173      0.05585      0.47773
100526739    1   10480159   10522060    148      18  97173   -0.0056773      0.50226
1325         1   10499776   10522060     55      13  97173      0.22058      0.41271
1676         1   10510588   10542613     86      19  97173     -0.54742      0.70796
5195         1   10525003   10700815    526      42  97173     -0.86798       0.8073
54897        1   10686661   10866733    576      96  97173      -0.3266      0.62801
148345       1   10996530   11052094    250      31  97173       -1.452      0.92675
23435        1   11062462   11095549     98      12  97173      0.88987      0.18677
10747        1   11076580   11117296    100      11  97173      0.25458      0.39953
6723         1   11104649   11130091     71       6  97173     -0.83251      0.79744
5394         1   11116675   11169961    157       7  97173       -1.465      0.92854
2475         1   11156588   11332614    402      12  97173      -1.3859      0.91711
10218        1   11239346   11266038     48       4  97173      -1.1858      0.88216
29914        1   11323255   11358491     62       9  97173      -1.4861      0.93138
57540        1   11529295   11607640    239      24  97173    -0.038569      0.51538
26232        1   11697924   11724888     88      28  97173       1.2617      0.10353
93611        1   11704432   11733384    107      28  97173       1.8635     0.031197
26270        1   11714150   11744411    122      23  97173       1.6017     0.054614
10459        1   11724537   11761678    152      32  97173       1.3883     0.082526
374946       1   11741781   11790336    181      39  97173      0.94511       0.1723
57085        1   11786142   11820828    106      19  97173     -0.34569      0.63521
284498       1   11813827   11859642    235      21  97173      0.14604      0.44194
4524         1   11835787   11876160    249      19  97173      0.65072      0.25761
1185         1   11856153   11913201    356      23  97173       2.0114     0.022142
4878         1   11895766   11917840    125      21  97173        2.102     0.017777
4879         1   11907521   11928992    104      22  97173       2.0167     0.021866
90231        1   11969645   11996485    129      22  97173      0.55667      0.28888
5351         1   11984724   12045599    196      23  97173       2.7651    0.0028457
9927         1   12030238   12083572    180      21  97173       1.7036     0.044228
60672        1   12069299   12102106     86      17  97173       0.5554      0.28931
943          1   12113434   12214264    318      58  97173       1.8165     0.034646
7133         1   12217044   12279279    233      34  97173      0.28311      0.38855
55187        1   12280101   12582099    677      24  97173      0.74134      0.22924
9249         1   12617939   12687820    310      45  97173        1.598     0.055017
343066       1   12694566   12737097    135      14  97173     -0.79985       0.7881
126767       1   12766118   12798726    117      15  97173     -0.84446      0.80079
93190        1   12796163   12831102    146      15  97173       -1.168      0.87861
390999       1   12824984   12848049     69      12  97173      0.11526      0.45412
65121        1   12841546   12866777    162      21  97173       1.3221     0.093064
440560       1   12874468   12901264     65       4  97173     -0.27213      0.60724
343069       1   12897261   12918578      1       1  97173       1.7487      0.04017
440563       1   13172960   13194326     20       1  97173     -0.75323      0.77434
645414       1   13684889   13708405      1       1  97173       -1.183       0.8816
391004       1   13706088   13729064      1       1  97173       -1.183       0.8816
645425       1   13726907   13757803      1       1  97173     -0.53103       0.7023
126755       1   13791445   13850242    319      53  97173       1.7553     0.039607
10630        1   13900252   13954452    259      48  97173        1.559     0.059492
7799         1   14016714   14161574    510      37  97173     -0.42511      0.66462
23254        1   14209646   15454544   6024     385  97173      0.66429      0.25325
55092        1   15469028   15556974    541      34  97173      0.25962      0.39758
727684       1   15480692   15508120    138      22  97173      0.61725      0.26854
114827       1   15563730   15734767    725      81  97173       -1.864      0.96884
79180        1   15726391   15766839    147      37  97173       -0.982      0.83695
11330        1   15754938   15783153     81      18  97173     -0.62743      0.73481
63036        1   15773223   15808586    138      27  97173      -0.3339      0.63077
51032        1   15792596   15827895    144      21  97173     -0.50554      0.69341
842          1   15807896   15861407    221      15  97173     -0.76972      0.77927
23341        1   15843343   15908228    208      16  97173     -0.59893      0.72539
79814        1   15888194   15921605    170      13  97173     -0.30032      0.61803
84301        1   15933953   16005539    194      12  97173        1.221      0.11105
6248         1   15976364   15998217     47       5  97173       1.3101     0.095078
23207        1   16000632   16071264    233      22  97173       1.4988     0.066967
284723       1   16052721   16077884     74      15  97173      0.87905      0.18969
388595       1   16058987   16084292     87      17  97173      0.29157      0.38531
54751        1   16073107   16123089    204      34  97173      -1.3799      0.91619
440567       1   16123657   16144194    115      12  97173      -1.9866      0.97651
23013        1   16164359   16276951    267      24  97173      0.11661      0.45359
7709         1   16258364   16312627    120      22  97173   -0.0034101      0.50136
101928566    1   16292626   16333701    203      25  97173      -0.2867      0.61283
149563       1   16320731   16343184    153      19  97173   -0.0094003      0.50375
27129        1   16330523   16356084    151      18  97173      0.11039      0.45605
1187         1   16338486   16370548    262      23  97173     0.062851      0.47494
1188         1   16360231   16393821    351      32  97173      0.65324       0.2568
