GENE	RA
MAGI3	1.3607e-16
CTLA4	9.992e-16
ANKRD55	1.0274e-15
OLFML3	1.9429e-15
HIPK1	3.1641e-15
AP4B1	1.9373e-14
IRF5	2.2815e-14
PHTF1	2.3093e-14
REL	5.2014e-14
CCR6	5.9341e-14
STAT4	6.0742e-14
BCL2L15	6.628e-14
COG6	1.7925e-13
SPRED2	1.7323e-12
TNPO3	2.5706e-12
TNFAIP3	9.2609e-12
IL2RA	1.5405e-11
RAVER1	4.7968e-11
GATA3	5.2218e-11
FCGR2A	7.2873e-11
MMEL1	7.5074e-11
FAM213B	8.6233e-11
PTPN2	9.8836e-11
C5orf30	2.1632e-10
PLCL2	2.5033e-10
NAB1	3.178e-10
PRKCQ	3.3492e-10
PADI4	3.5102e-10
RAB5B	3.6764e-10
RSBN1	5e-10
PTPN22	5e-10
DCLRE1B	5e-10
CD28	5.1795e-10
CD40	6.5333e-10
SUOX	6.7536e-10
TXNDC11	9.9246e-10
ARID5B	1.7237e-09
DDX6	1.7725e-09
ZPBP2	1.7921e-09
UBE2L3	5.1599e-09
TRAF1	5.7972e-09
PHF19	6.0215e-09
IFNGR2	7.8017e-09
FDX2	8.7406e-09
WISP1	1.435e-08
GSDMB	2.0702e-08
SNN	2.1772e-08
ICAM3	2.6521e-08
NFKBIE	2.6687e-08
CCL21	3.7267e-08
ERBB2	6.396e-08
RASGRP1	6.6738e-08
RPL3	7.1564e-08
HAPLN4	8.6863e-08
PLGRKT	9.0452e-08
YDJC	1.0245e-07
ERBB3	1.0621e-07
AFF3	1.215e-07
TMEM191C	1.3269e-07
TM6SF2	1.442e-07
IKZF4	1.837e-07
PGAP3	1.8506e-07
ZGLP1	2.1598e-07
CDK2	2.283e-07
FLT3	2.5804e-07
RPL6	3.1931e-07
EBF1	4.6237e-07
ICOSLG	4.84e-07
OS9	5.0431e-07
PEMT	5.1166e-07
ORMDL3	5.3123e-07
AGAP2	7.5556e-07
RPS26	7.579e-07
FEN1	8.5306e-07
TEC	1.0572e-06
CD5	1.0634e-06
UBE2Q1	1.1179e-06
HSPA6	1.1667e-06
GTF2I	1.2234e-06
FAM205A	1.2703e-06
PDE4A	1.4023e-06
RBM17	1.4525e-06
PLCL1	1.487e-06
IL6R	1.5885e-06
RUNX3	1.6619e-06
YJEFN3	1.6998e-06
CILP2	1.7549e-06
ZNF629	1.8752e-06
HELZ2	1.8771e-06
CUX2	1.965e-06
NDUFA13	2.0363e-06
TYK2	2.2138e-06
PHLDB1	2.2814e-06
SLC44A2	2.6419e-06
PRR14	2.6608e-06
TMEM50B	2.7417e-06
TMEM258	2.8417e-06
ADAD1	2.9831e-06
SUGP1	3.0671e-06
TMEM265	3.3103e-06
PTPN11	3.4318e-06
VPS37C	3.8838e-06
IL21	3.9209e-06
ATP13A2	4.266e-06
MFAP2	4.2714e-06
GATAD2A	4.3468e-06
TSPAN14	4.5352e-06
YAF2	4.7118e-06
YRDC	4.9478e-06
GNG4	5.0967e-06
BLK	5.1138e-06
MANEAL	5.2308e-06
SPC24	5.3511e-06
CCDC116	5.7819e-06
NPIPB9	5.8369e-06
ACAD10	6.5946e-06
FBXL20	6.7395e-06
ICAM5	6.7956e-06
SYT6	6.8257e-06
PUS10	6.8675e-06
SDCCAG8	6.9702e-06
PADI2	7.2361e-06
KRI1	7.3811e-06
ANTXR2	7.8361e-06
ATP2A1	8.066e-06
TGOLN2	9.3068e-06
CDK12	9.5004e-06
PHKG2	9.5729e-06
PA2G4	1.0172e-05
SLC10A4	1.0438e-05
SLC26A10	1.0517e-05
TRAF6	1.0885e-05
TAF3	1.1444e-05
SDHB	1.1578e-05
ICAM4	1.1642e-05
ALDH2	1.2151e-05
MAU2	1.2181e-05
METTL1	1.2685e-05
SYNGR1	1.2749e-05
BOLL	1.2822e-05
FRYL	1.3359e-05
TDRD10	1.3556e-05
BCL7C	1.4371e-05
EEF1AKMT3	1.5098e-05
TRAFD1	1.5936e-05
IL2	1.6125e-05
PSD4	1.625e-05
KIF5A	1.6254e-05
CFLAR	1.7419e-05
ZAR1	1.7752e-05
ATG4D	1.796e-05
RABEP2	1.8623e-05
EOMES	1.8828e-05
NCF1	2.0082e-05
PSMD13	2.0286e-05
CD247	2.0499e-05
SH2B1	2.0807e-05
HOXA1	2.1645e-05
ADAMTSL1	2.3943e-05
TTC34	2.42e-05
TNFSF4	2.5958e-05
TMEM116	2.6226e-05
ATXN2	2.6547e-05
ZBTB46	2.6664e-05
TUFM	2.6922e-05
SCIMP	2.7032e-05
TXK	2.7459e-05
CXCL17	2.8089e-05
KLLN	2.9579e-05
ZC3H10	3.0247e-05
ATXN2L	3.0726e-05
SLC51A	3.1023e-05
ASAP1	3.1507e-05
SEMA6D	3.151e-05
ELL2	3.2026e-05
CACNB4	3.387e-05
TSFM	3.4503e-05
TFAP2C	3.5601e-05
INAVA	3.6184e-05
RIC8A	3.6708e-05
CDK6	3.6921e-05
ITPKA	3.7025e-05
ERP29	3.7983e-05
ACOXL	3.8317e-05
IL12RB2	3.8704e-05
PRSS48	3.9128e-05
NEK6	3.9966e-05
CORO1A	3.9984e-05
NCOA5	4.3422e-05
TNFSF18	4.5573e-05
RIN3	4.5825e-05
SHE	4.6481e-05
ZNF565	4.6647e-05
MKRN2	4.6806e-05
MYRF	4.8499e-05
PRCC	5.0575e-05
OTULIN	5.2032e-05
JAZF1	5.3326e-05
TMEM151B	5.3851e-05
RNASET2	5.4449e-05
RPL41	5.5823e-05
MAPKAPK5	5.7728e-05
TAL1	5.8145e-05
PHETA1	5.8604e-05
PEAK1	6.0827e-05
HECTD4	6.1516e-05
NAA25	6.2148e-05
ALS2CR12	6.2568e-05
CYP3A4	6.3319e-05
GIN1	6.3628e-05
SLAIN2	6.3861e-05
FAM213A	6.5543e-05
ICAM1	6.6034e-05
BET1L	7.0251e-05
SH2B3	7.0654e-05
IL2RB	7.2841e-05
ARMC2	7.3069e-05
OCIAD1	7.8198e-05
USP6	7.9199e-05
GMEB2	8.3031e-05
INPP5B	8.4371e-05
POLR3B	8.5567e-05
ZNF146	8.9851e-05
DYDC1	9.0652e-05
KDM4B	9.1046e-05
RPS27	9.2003e-05
GATD3A	9.3133e-05
RAG1	9.3369e-05
KSR1	9.3724e-05
B4GALNT1	9.4535e-05
PPIP5K2	9.8478e-05
DYDC2	0.00010148
ZBTB21	0.00010452
NTRK1	0.00010751
RPS7	0.00010839
ETV7	0.00010839
C11orf97	0.0001089
KIAA1109	0.00010897
LKAAEAR1	0.00011017
C1orf122	0.00011124
NCAN	0.00011348
RGS19	0.00011436
BANK1	0.00011465
CASP8	0.00011536
STAT1	0.00011539
TAGAP	0.00011795
MAPK3	0.00011914
NYAP2	0.0001236
PPARG	0.00013409
SCGB1C2	0.00013414
CEP170	0.00013761
ZC3H11A	0.00013814
TNFRSF11A	0.00014237
TFCP2	0.00014562
TMED5	0.00014733
PAQR8	0.00014881
ZNF594	0.00015276
FCRL3	0.00015321
PSTPIP1	0.00016234
FCAMR	0.00016658
SLC2A9	0.00016729
MFSD6	0.00016788
MKRN2OS	0.00017255
ODF3	0.00017335
RFTN2	0.00017646
PDIK1L	0.00017738
ICOS	0.00017944
NIPAL1	0.00018444
BAD	0.00019077
CCDC18	0.00019172
CCRL2	0.00019687
CLN3	0.00020593
ZFP14	0.00020631
