GENE	RA
COG6	7.094e-16
ANKRD55	2.7264e-15
SPRED2	6.012e-15
MAGI3	6.2135e-15
AP4B1	1.4988e-14
DCLRE1B	1.5971e-13
OLFML3	6.3516e-13
STAT4	6.6902e-13
TNPO3	1.1628e-12
REL	1.2376e-12
CCR6	1.8173e-12
PLCL2	7.0552e-12
PTPN2	7.9203e-12
GATA3	8.4076e-12
FCGR2A	2.133e-11
IL2RA	2.2887e-11
RAVER1	4.3237e-11
FAM213B	1.1076e-10
MMEL1	1.1469e-10
DDX6	1.5493e-10
C5orf30	1.5903e-10
TNFAIP3	1.6579e-10
CD28	2.5829e-10
NAB1	2.9527e-10
SUOX	4.6679e-10
PHTF1	5e-10
RSBN1	5e-10
PTPN22	5e-10
BCL2L15	5e-10
HIPK1	5e-10
CTLA4	5e-10
IRF5	5e-10
RAB5B	5.1389e-10
ZGLP1	8.1084e-10
WISP1	8.7319e-10
ARID5B	9.3547e-10
PADI4	1.0907e-09
CD40	1.5377e-09
PRKCQ	1.5496e-09
TXNDC11	1.6344e-09
FDX2	3.6572e-09
AFF3	3.8303e-09
UBE2L3	4.7243e-09
ZPBP2	4.756e-09
TRAF1	5.6203e-09
PHF19	6.8791e-09
ICAM3	7.3568e-09
CDK2	1.4481e-08
IFNGR2	1.4773e-08
SNN	1.6185e-08
ERBB3	1.6303e-08
CCDC116	1.8849e-08
RASGRP1	2.173e-08
PLGRKT	2.1757e-08
RPL3	2.2517e-08
GSDMB	2.408e-08
SPC24	3.7104e-08
ICOS	3.9625e-08
TM6SF2	7.0854e-08
IKZF4	7.1146e-08
FLT3	7.9865e-08
ERBB2	8.2875e-08
NFKBIE	9.6859e-08
HSPA6	1.1432e-07
ICOSLG	1.1976e-07
HAPLN4	1.3957e-07
RPS26	1.687e-07
YDJC	1.8204e-07
PGAP3	1.9193e-07
CCL21	2.1027e-07
PEMT	2.9409e-07
FAM205A	3.3366e-07
OS9	3.4644e-07
EBF1	4.5715e-07
AGAP2	4.7146e-07
PSD4	5.908e-07
TMEM191C	5.9437e-07
RUNX3	6.7799e-07
RPL6	6.8263e-07
CD5	7.1751e-07
ORMDL3	7.4629e-07
RBM17	1.0166e-06
IL6R	1.0572e-06
YRDC	1.1145e-06
TEC	1.12e-06
CILP2	1.1492e-06
GTF2I	1.1743e-06
PDE4A	1.2142e-06
TMEM265	1.3344e-06
TYK2	1.3406e-06
SYNGR1	1.611e-06
C1orf122	1.663e-06
SLC44A2	1.6785e-06
YJEFN3	1.6882e-06
TCAP	1.7593e-06
PTPN11	1.8131e-06
NDUFA13	1.9075e-06
ADAD1	1.9352e-06
TMEM258	1.9824e-06
PHLDB1	2.052e-06
TMEM50B	2.2461e-06
SUGP1	2.2675e-06
BLK	2.4226e-06
PLCL1	2.483e-06
HELZ2	2.622e-06
IL21	2.7971e-06
GATAD2A	2.8655e-06
TSPAN14	2.8881e-06
NPIPB9	3.182e-06
PUS10	3.2058e-06
VPS37C	3.221e-06
PFKFB3	3.2486e-06
PADI2	3.4652e-06
MFAP2	3.6475e-06
SDCCAG8	3.7822e-06
ATP13A2	3.9809e-06
SYT6	4.2671e-06
CUX2	4.4615e-06
TFAP2C	4.8911e-06
ACAD10	5.3317e-06
ATP2A1	5.7416e-06
TXK	5.8568e-06
BOLA2	5.8692e-06
UBE2Q1	6.1613e-06
PRR14	6.251e-06
KRI1	6.4073e-06
ZNF629	6.7433e-06
ANTXR2	6.7679e-06
KLF2	6.8424e-06
MAU2	6.8982e-06
FBXL20	7.3368e-06
FEN1	7.5848e-06
YAF2	8.3033e-06
ICAM5	8.4449e-06
CORO1A	8.6864e-06
TRAF6	9.1378e-06
ZAR1	9.4358e-06
CFLAR	9.6239e-06
B4GALNT1	9.7076e-06
CDK12	9.7249e-06
TDRD10	9.8482e-06
PA2G4	1.0575e-05
FBRS	1.1082e-05
SDHB	1.1355e-05
NCAN	1.1403e-05
FRYL	1.1969e-05
TGOLN2	1.2182e-05
SHE	1.2773e-05
TRAFD1	1.2786e-05
BOLL	1.3083e-05
MIEN1	1.3198e-05
BCL7C	1.3256e-05
PHETA1	1.3429e-05
TAGAP	1.3646e-05
RABEP2	1.4851e-05
SH2B1	1.563e-05
GNG4	1.676e-05
NCF1	1.6772e-05
ALDH2	1.6869e-05
METTL1	1.7234e-05
ATG4D	1.7617e-05
HOXA1	1.7643e-05
IL2	1.7936e-05
RPL41	1.8234e-05
TNFSF18	1.845e-05
SLC10A4	1.928e-05
TUFM	1.9749e-05
TSFM	2.0103e-05
NCOA5	2.0178e-05
HECTD4	2.0433e-05
EEF1AKMT3	2.0775e-05
ADAMTSL1	2.2187e-05
BET1L	2.2214e-05
INAVA	2.3652e-05
SH2B3	2.6294e-05
TTC34	2.6355e-05
CD247	2.6671e-05
KIF5A	2.6896e-05
TAF3	2.6912e-05
SLC26A10	2.703e-05
ITPKA	2.7364e-05
ELL2	2.7706e-05
SMIM29	2.7737e-05
TMEM116	2.8146e-05
JAZF1	2.8327e-05
ICAM1	2.8635e-05
RIC8A	2.986e-05
ATXN2L	3.0324e-05
OTULIN	3.1527e-05
CXCL17	3.1661e-05
ERP29	3.1676e-05
PSMD13	3.2601e-05
CDKN2D	3.2769e-05
ASAP1	3.3132e-05
RNASET2	3.3198e-05
IL12RB2	3.4234e-05
MANEAL	3.4272e-05
PPARG	3.4749e-05
ACOXL	3.5588e-05
SCIMP	3.6405e-05
SEMA6D	3.6476e-05
ZC3H10	3.7222e-05
MAPK3	3.7517e-05
NEK6	4.1224e-05
FAM213A	4.2239e-05
NAA25	4.3443e-05
ZBTB46	4.4635e-05
PRSS48	4.4649e-05
GMEB2	4.6403e-05
TNFSF4	4.668e-05
ICAM4	4.6703e-05
ARHGEF25	4.7035e-05
PRCC	4.8884e-05
RIN3	5.0584e-05
MAPKAPK5	5.1505e-05
MYRF	5.2371e-05
CDC37	5.2493e-05
SLC51A	5.3964e-05
GIN1	5.4444e-05
POLR3B	5.4924e-05
RIMBP3C	5.5049e-05
TAL1	5.5288e-05
ATXN2	5.5308e-05
FCAMR	5.5496e-05
STAT1	5.8163e-05
ALS2CR12	5.9678e-05
IL2RB	5.9705e-05
EOMES	5.9954e-05
LIPE	6.0078e-05
HSPA12B	6.5142e-05
CASP8	6.5426e-05
RAG1	6.5877e-05
FCRL3	6.6575e-05
ODF3	6.7581e-05
GATD3A	6.9297e-05
USP6	7.0745e-05
PEAK1	7.2083e-05
HIBCH	7.2338e-05
ZNF232	7.3794e-05
NYAP2	7.4336e-05
PPIP5K2	7.6286e-05
MKRN2	7.63e-05
SLAIN2	7.8049e-05
KDM4B	7.8237e-05
DYDC1	7.8533e-05
CDK6	8.145e-05
RPS7	8.1635e-05
CACNB4	8.6683e-05
KSR1	9.136e-05
ARMC2	9.1439e-05
ZNF146	9.354e-05
ZNF565	9.427e-05
KIAA1109	9.4368e-05
NTRK1	9.4973e-05
KLLN	0.00010065
MKRN2OS	0.00010338
RGS19	0.0001047
TFCP2	0.00010708
TMEM151B	0.00010816
MFSD6	0.00010903
SIRT3	0.00010906
PIGR	0.00010946
PHKG2	0.00011613
FGFR1OP	0.00011936
BANK1	0.00011958
C11orf97	0.00012034
LTK	0.00012135
TMED5	0.00012816
DYDC2	0.00013227
PAQR8	0.00013696
INPP1	0.00013723
CD274	0.00014053
LKAAEAR1	0.00014089
JADE2	0.00014204
ZNF594	0.00014363
ULBP3	0.00014538
INPP5B	0.00014835
INSRR	0.00014957
OCIAD1	0.00015318
CEP170	0.0001533
PDIK1L	0.00016061
TNFRSF11A	0.00016327
CCDC18	0.00016622
CCRL2	0.00016642
SLX1A	0.0001673
ESYT1	0.00016831
RFTN2	0.0001723
PDP2	0.00017429
C5	0.00017809
ZC3H11A	0.00018344
PCNA	0.00018906
ART5	0.00019155
CD19	0.00019215
DNAJC28	0.00019689
HMG20A	0.00019998
PSTPIP1	0.0002033
PTPRC	0.0002062
ZBTB21	0.00021832
RPS27	0.00021896
CYP3A4	0.00021974
CLN3	0.00022101
FNDC11	0.00022136
PLCB3	0.00022223
SH3D19	0.0002229
KLF3	0.00022593
ZFP14	0.00023579
AVIL	0.0002393
ETV7	0.00024083
HSPBP1	0.00024298
SCGB1C2	0.00025273
MARS2	0.00025923
APOBR	0.00026005
STARD3	0.00026493
RNF40	0.0002653
SLC35B2	0.00026892
TCP11L2	0.0002766
ZFP82	0.00027859
DNLZ	0.0002853
SIGLEC1	0.0002938
NDUFS1	0.00029446
PLEKHA1	0.00029945
S1PR5	0.00030174
TNFSF9	0.00030935
KTN1	0.00031075
LITAF	0.00031859
NIPAL1	0.00032326
LPAR2	0.00033063
LONRF2	0.00033395
GRB7	0.00033567
FAM167A	0.00033584
BAD	0.00033654
GFI1	0.00033816
POU6F1	0.00033909
ACTR2	0.00034049
SLC2A9	0.00034117
ZNF394	0.00034364
ATP5MF	0.00034378
GMIP	0.00034784
C7orf66	0.00034968
KEAP1	0.00035421
CD79B	0.0003635
TCF7	0.00036923
SLC9B1	0.00037187
ABCC12	0.00037519
CHRNA9	0.00037701
SLCO4C1	0.00038259
TRIM47	0.00039686
LAX1	0.00039921
CPSF4	0.00040175
RAB14	0.00040534
ANKRD49	0.00041034
SNX13	0.00042219
ARHGAP31	0.00042567
ATP5MF-PTCD1	0.00042807
PCYT1A	0.00042927
PIGN	0.00043126
CNTRL	0.00043207
SIGLEC6	0.00043652
ARHGEF26	0.00044397
ZNF592	0.00044435
AARS2	0.00045408
ZC3H7A	0.00046019
CARD9	0.00046095
NUSAP1	0.00046137
CHRNB2	0.00046464
KLF13	0.00046511
ABHD16B	0.00046767
ZNF789	0.00047235
ATG5	0.00048434
ARID2	0.00048901
NDUFAF1	0.00049423
BAG1	0.00050135
RTF1	0.00050323
FAM126B	0.00050759
ZDHHC19	0.00050809
SLU7	0.0005095
MTF2	0.00051495
SPINK4	0.00051498
FAM200A	0.00051722
GNB1	0.0005261
CCDC189	0.00052795
RETSAT	0.0005395
RASA2	0.00054413
C2CD6	0.00055208
SOCS1	0.00055934
GART	0.00056514
SEC16B	0.00057296
MRPS31	0.00057709
PSMD14	0.00058061
ASCC3	0.00058448
NEMP2	0.00058878
TRAM1L1	0.0005888
HORMAD2	0.00059631
PTCD1	0.00060181
CD2	0.0006068
C1orf146	0.00060783
CCR3	0.00061558
EPHA10	0.00061691
GFRAL	0.00062266
RERE	0.0006279
GLI1	0.00062815
TCEA2	0.00063457
SMIM13	0.00064003
AMER3	0.0006431
GPR137	0.00064964
FAM237A	0.00065135
SCN4A	0.0006576
ZNF416	0.00066128
ACAD11	0.0006674
RIC1	0.00067738
HIC2	0.00069161
SIM1	0.00069247
PPHLN1	0.00069377
GDPD3	0.00070171
APH1A	0.00070676
MRE11	0.00071778
ZCRB1	0.0007191
EEF1B2	0.00072184
CARD11	0.00073299
CFDP1	0.00074035
CHD7	0.00074206
ZNF655	0.00074391
TRAM2	0.00074442
SCAF11	0.00074939
RBM23	0.00076984
MAT1A	0.00077184
KDM7A	0.00078023
STMN3	0.00078943
SLTM	0.00079486
CAPSL	0.00079983
IL17C	0.00080135
ARHGAP1	0.000806
IL1R1	0.00082473
CASP10	0.00083386
NFATC2IP	0.00083469
NPIPB6	0.00083789
LRRC3C	0.00085343
PPP1R14B	0.00085927
FAM45A	0.00086209
HSPB6	0.00086334
TNFRSF14	0.00086867
CACNA1S	0.00088455
PEX13	0.00088752
KIF21B	0.00088785
KANK2	0.00089105
EXD1	0.00089279
TCTE1	0.00089282
NDUFB3	0.0009015
TMEM145	0.00090406
SGF29	0.00090965
FOXO1	0.00091209
AP1M2	0.0009208
ZNF438	0.00092408
KRT24	0.00093277
PXT1	0.00094766
STAM2	0.0009527
CCDC88B	0.00095365
MAB21L2	0.00095502
ZBED8	0.00095535
DNMT3L	0.00096332
ZKSCAN5	0.00096419
HCLS1	0.00096554
CXCR5	0.00096597
DBNDD1	0.0009703
CHMP5	0.00097751
CTF1	0.00099068
NUPR1	0.0010005
LGR5	0.0010007
MIEF2	0.0010088
SULT1A1	0.0010213
SMARCE1	0.0010286
INPP5A	0.0010369
CDR2L	0.0010371
SMIM14	0.0010387
LRBA	0.0010532
TMEM170A	0.0010564
ST3GAL4	0.0010626
MDH2	0.0010673
HOXA2	0.0010676
FKBP2	0.0010748
TCTEX1D2	0.0010769
PADI3	0.0010797
MTMR3	0.0010947
KPRP	0.0011282
CD226	0.0011361
MEGF8	0.00114
ZIK1	0.0011434
DCST2	0.0011447
OIP5	0.0011461
SON	0.001149
PRMT5	0.0011605
GAK	0.0011613
GH1	0.001194
SMAD3	0.0011987
DTX3	0.0012122
LY6E	0.0012186
DR1	0.0012213
WBP2	0.0012218
TRIM65	0.0012255
CPNE7	0.0012284
C15orf53	0.0012314
FGF3	0.0012483
SULT1A2	0.0012522
UBA5	0.0012568
SKAP2	0.0012577
INHBE	0.0012608
PTTG1	0.0012643
TNP2	0.0012672
PRR19	0.0012699
SLC35D1	0.0012723
NRROS	0.0012873
SNAPC4	0.001292
