GENE	RA
MAGI3	2.5907e-17
HIPK1	2.0539e-15
SPRED2	2.0558e-15
COG6	4.1714e-15
ANKRD55	1.1823e-14
STAT4	3.5293e-14
IRF5	3.8913e-14
PHTF1	7.1887e-14
REL	2.8227e-13
TNFAIP3	2.1984e-12
CCR6	2.7328e-12
PLCL2	2.0617e-11
CD40	2.6658e-11
FAM213B	2.8501e-11
GATA3	3.2783e-11
TNPO3	5.1449e-11
MMEL1	6.1416e-11
C5orf30	1.9813e-10
NAB1	2.1005e-10
SUOX	3.0677e-10
RSBN1	5e-10
PTPN22	5e-10
BCL2L15	5e-10
AP4B1	5e-10
DCLRE1B	5e-10
FCGR2A	5.1882e-10
PRKCQ	6.2266e-10
PTPN2	6.6392e-10
DDX6	7.1688e-10
IL2RA	9.8888e-10
RAB5B	9.9528e-10
PADI4	1.9375e-09
ZPBP2	2.2927e-09
CTLA4	3.097e-09
ARID5B	5.4926e-09
PHF19	5.9904e-09
UBE2L3	6.015e-09
WISP1	6.3519e-09
TRAF1	6.5731e-09
IFNGR2	8.8423e-09
RPL3	1.3323e-08
TXNDC11	1.3371e-08
CD28	1.347e-08
RASGRP1	1.9508e-08
GSDMB	2.0761e-08
FDX2	2.5281e-08
SNN	3.3622e-08
MANEAL	3.8987e-08
ERBB2	6.2021e-08
TM6SF2	8.7367e-08
ICAM3	9.9987e-08
HAPLN4	1.3403e-07
EOMES	1.6754e-07
ICOSLG	1.6836e-07
RAVER1	1.7771e-07
PGAP3	2.304e-07
AFF3	2.8505e-07
PLGRKT	2.8568e-07
TYK2	3.1331e-07
NFKBIE	3.4761e-07
FLT3	4.5601e-07
RPL6	6.8358e-07
PEMT	6.9597e-07
EBF1	7.2075e-07
IKZF4	8.3033e-07
PLCL1	8.4942e-07
TEC	8.8865e-07
UBE2Q1	9.4704e-07
IL6R	1.2726e-06
RUNX3	1.2956e-06
GTF2I	1.5229e-06
SUGP1	1.6154e-06
AGAP2	1.6163e-06
CILP2	1.7505e-06
GNG4	1.824e-06
CUX2	1.9247e-06
PTPN11	1.9556e-06
NDUFA13	1.9702e-06
TSPAN14	2.0036e-06
IL2	2.0136e-06
PADI2	2.0493e-06
OLFML3	2.4658e-06
YJEFN3	2.5848e-06
ADAD1	2.8114e-06
TMEM50B	2.9807e-06
SLC44A2	3.0228e-06
PHLDB1	3.1694e-06
NCF1	3.261e-06
PDE4A	3.2859e-06
KIF5A	3.446e-06
HELZ2	3.4944e-06
KRI1	3.5449e-06
ERBB3	4.0741e-06
CD5	4.2501e-06
MFAP2	4.5217e-06
VPS37C	4.6442e-06
RIC8A	4.6545e-06
GATAD2A	4.9138e-06
YAF2	5.2402e-06
NPIPB9	5.8369e-06
TMEM258	5.9261e-06
OS9	5.9411e-06
ACAD10	6.4443e-06
ATP13A2	7.2827e-06
SDCCAG8	7.4392e-06
PRR14	7.7193e-06
ATP2A1	7.8464e-06
ANTXR2	7.9739e-06
FRYL	9.0722e-06
PA2G4	9.3582e-06
CDK12	1.0143e-05
SLC10A4	1.0837e-05
EEF1AKMT3	1.0879e-05
TAF3	1.1031e-05
SH2B1	1.1032e-05
SDHB	1.1706e-05
CDK2	1.2464e-05
S1PR5	1.3991e-05
PSMD13	1.4729e-05
FAM205A	1.4976e-05
ADAMTSL1	1.4996e-05
PCBP1	1.5141e-05
BLK	1.5597e-05
SPC24	1.5862e-05
BCL7C	1.6334e-05
TRAF6	1.6728e-05
BOLL	1.6793e-05
TXK	1.7117e-05
ALDH2	1.8381e-05
SHE	1.8415e-05
ATXN2	1.8659e-05
CORO1A	1.9826e-05
SYT6	2.0081e-05
TDRD10	2.1037e-05
TRAFD1	2.1061e-05
TMEM116	2.1242e-05
CXCL17	2.127e-05
ASAP1	2.2738e-05
CFLAR	2.2959e-05
ICOS	2.3523e-05
KLLN	2.4712e-05
TGOLN2	2.5144e-05
CCL21	2.6046e-05
ATXN2L	2.6293e-05
MAU2	2.6352e-05
ZAR1	2.6793e-05
RABEP2	2.6908e-05
OTULIN	2.7612e-05
RBM17	2.7839e-05
FBXL20	2.8797e-05
TUFM	2.9351e-05
SLAIN2	3.1712e-05
IL21	3.2711e-05
TNFSF4	3.3758e-05
SCIMP	3.4835e-05
SH2B3	3.5539e-05
ZNF565	3.586e-05
CACNB4	3.6514e-05
ZBTB21	3.7051e-05
SEMA6D	3.7229e-05
TSFM	3.729e-05
MKRN2	4.0091e-05
NEK6	4.0336e-05
YDJC	4.1188e-05
HECTD4	4.2302e-05
SLC26A10	4.2399e-05
CD247	4.519e-05
SYNGR1	4.5755e-05
ITPKA	4.7267e-05
ACOXL	4.8702e-05
ICAM5	4.886e-05
PUS10	4.9228e-05
PRSS48	4.94e-05
FAM237A	5.0252e-05
RPS26	5.0971e-05
TTC34	5.1995e-05
PSD4	5.2032e-05
IL12RB2	5.2388e-05
MAPKAPK5	5.2533e-05
TNFSF18	5.2758e-05
PHETA1	5.8157e-05
APOBR	5.9111e-05
PRCC	6.0107e-05
ATG4D	6.3022e-05
NCOA5	6.3112e-05
INAVA	6.3979e-05
CDK6	6.7108e-05
ELL2	6.9242e-05
RPS7	6.9608e-05
RAG1	7.0141e-05
BET1L	7.1243e-05
GIN1	7.3714e-05
ORMDL3	7.3977e-05
CD19	7.4475e-05
INPP5B	7.4947e-05
C11orf97	7.6688e-05
KLF3	7.9398e-05
DYDC1	8.3125e-05
DYDC2	8.5396e-05
TRAM1L1	8.975e-05
NAA25	9.3227e-05
ARMC2	9.5548e-05
PEAK1	9.6341e-05
POLR3B	9.8574e-05
ZNF594	9.9371e-05
ZBTB46	0.00010077
ALS2CR12	0.00010461
USP6	0.00010463
KSR1	0.00011108
TAL1	0.00011262
KDM4B	0.0001146
RIN3	0.00011568
OCIAD1	0.00011638
METTL1	0.00011673
NTRK1	0.00012184
SLC51A	0.00012243
B4GALNT1	0.00012449
ZNF146	0.00013206
BANK1	0.00013302
RFTN2	0.00013339
CYP3A4	0.00013469
MKRN2OS	0.00014378
ZCRB1	0.00014526
NYAP2	0.00014695
LKAAEAR1	0.00014787
GPR137	0.00015174
JADE2	0.00015412
MYRF	0.0001565
NIPAL1	0.00015705
CEP170	0.00016277
KIAA1109	0.00016385
PAQR8	0.00017496
TFCP2	0.00017506
MAPK3	0.00017651
HMG20A	0.00017848
TMED5	0.00018392
ETV7	0.00018559
PDIK1L	0.0001907
CCDC18	0.00019218
ZC3H11A	0.00019297
PDP2	0.00019477
PPIP5K2	0.00019613
ZGLP1	0.00019722
PPARG	0.00020183
HIBCH	0.00020384
FAM213A	0.00020443
GATD3A	0.00020774
GMEB2	0.00020859
HOXA2	0.00021246
MAT1A	0.00021545
SLCO4C1	0.00022781
TAGAP	0.00022907
TNFRSF11A	0.0002331
STAT1	0.00023442
CHRNB2	0.00023973
RNASET2	0.00024169
JAZF1	0.00024924
MFSD6	0.00025141
ZNF232	0.00025312
LTK	0.00025514
RETSAT	0.00025832
CASP8	0.00025948
PCNA	0.0002667
